country;degree_centrality;vulnerability;exportation_strength;hubness;period
NL;0,82;0,44;0,1;0,69;202201
DE;1,18;0,24;0,16;0,85;202201
CN;0,34;0,0;0,12;0,6;202201
FR;0,7;0,52;0,05;0,65;202201
BE;0,58;0,62;0,06;0,63;202201
PL;0,56;0,7;0,04;0,6;202201
IT;0,78;0,48;0,04;0,68;202201
AT;0,42;0,76;0,02;0,56;202201
US;0,16;0,0;0,05;0,54;202201
CZ;0,38;0,8;0,03;0,56;202201
ES;0,54;0,6;0,03;0,62;202201
CH;0,16;0,0;0,02;0,54;202201
NO;0,12;0,0;0,02;0,51;202201
RU;0,28;0,0;0,05;0,58;202201
GB;0,16;0,0;0,03;0,54;202201
HU;0,34;0,8;0,01;0,54;202201
PT;0,14;0,92;0,01;0,5;202201
IE;0,24;0,86;0,02;0,54;202201
SE;0,38;0,78;0,02;0,55;202201
DK;0,18;0,88;0,01;0,49;202201
TR;0,14;0,0;0,01;0,53;202201
RO;0,2;0,86;0,01;0,53;202201
SK;0,24;0,88;0,01;0,51;202201
JP;0,08;0,0;0,01;0,5;202201
AZ;0,02;0,0;0,0;0,41;202201
FI;0,14;0,92;0,0;0,48;202201
TW;0,06;0,0;0,01;0,48;202201
KR;0,12;0,0;0,01;0,51;202201
IN;0,12;0,0;0,01;0,53;202201
ZA;0,02;0,0;0,0;0,46;202201
MY;0,04;0,0;0,0;0,47;202201
DZ;0,06;0,0;0,0;0,45;202201
GR;0,1;0,9;0,0;0,51;202201
VN;0,04;0,0;0,0;0,47;202201
SI;0,12;0,92;0,0;0,5;202201
LU;0,04;0,96;0,0;0,47;202201
NG;0,02;0,0;0,0;0,38;202201
MA;0,04;0,0;0,0;0,41;202201
BR;0,06;0,0;0,0;0,49;202201
LT;0,04;0,96;0,0;0,47;202201
LY;0,02;0,0;0,0;0,41;202201
MX;0,04;0,0;0,0;0,48;202201
BG;0,08;0,96;0,0;0,47;202201
TH;0,04;0,0;0,0;0,47;202201
BD;0,02;0,0;0,0;0,46;202201
SA;0,02;0,0;0,0;0,41;202201
KZ;0,02;0,0;0,0;0,46;202201
IQ;0,02;0,0;0,0;0,34;202201
ID;0,02;0,0;0,0;0,41;202201
TN;0,02;0,0;0,0;0,4;202201
CA;0,02;0,0;0,0;0,46;202201
NL;0,84;0,45;0,1;0,71;202202
DE;1,22;0,22;0,16;0,86;202202
FR;0,67;0,55;0,05;0,64;202202
CN;0,33;0,0;0,1;0,6;202202
BE;0,51;0,65;0,06;0,6;202202
IT;0,82;0,47;0,05;0,7;202202
PL;0,59;0,69;0,04;0,6;202202
AT;0,37;0,8;0,02;0,56;202202
CZ;0,37;0,82;0,03;0,55;202202
US;0,2;0,0;0,05;0,55;202202
ES;0,51;0,63;0,04;0,6;202202
CH;0,18;0,0;0,03;0,54;202202
IE;0,22;0,86;0,02;0,51;202202
NO;0,1;0,0;0,02;0,49;202202
RU;0,31;0,0;0,05;0,59;202202
HU;0,35;0,8;0,01;0,54;202202
PT;0,16;0,9;0,01;0,52;202202
GB;0,16;0,0;0,03;0,54;202202
SE;0,41;0,76;0,02;0,56;202202
DK;0,2;0,86;0,01;0,5;202202
RO;0,22;0,84;0,01;0,53;202202
SK;0,27;0,88;0,01;0,53;202202
TR;0,12;0,0;0,01;0,53;202202
JP;0,1;0,0;0,01;0,52;202202
AZ;0,02;0,0;0,0;0,42;202202
FI;0,14;0,92;0,0;0,49;202202
TW;0,04;0,0;0,0;0,48;202202
IN;0,1;0,0;0,01;0,52;202202
KR;0,1;0,0;0,01;0,51;202202
MA;0,04;0,0;0,0;0,4;202202
DZ;0,04;0,0;0,0;0,43;202202
ZA;0,02;0,0;0,0;0,47;202202
LU;0,06;0,96;0,0;0,47;202202
VN;0,04;0,0;0,0;0,48;202202
MY;0,04;0,0;0,0;0,48;202202
SI;0,14;0,9;0,0;0,51;202202
LY;0,02;0,0;0,0;0,42;202202
NG;0,02;0,0;0,0;0,38;202202
GR;0,1;0,9;0,0;0,51;202202
IQ;0,02;0,0;0,0;0,34;202202
BR;0,06;0,0;0,0;0,49;202202
SG;0,02;0,0;0,0;0,47;202202
LT;0,06;0,94;0,0;0,48;202202
BG;0,08;0,96;0,0;0,48;202202
MX;0,02;0,0;0,0;0,47;202202
TH;0,04;0,0;0,0;0,48;202202
KZ;0,02;0,0;0,0;0,47;202202
SA;0,02;0,0;0,0;0,42;202202
ID;0,02;0,0;0,0;0,42;202202
