date;series;country
2014-02-01;-571635175;IT
2014-03-01;-366766904;IT
2014-04-01;-705740729;IT
2014-05-01;417144983;IT
2014-06-01;565550912;IT
2014-07-01;-360950657;IT
2014-08-01;-1822053610;IT
2014-09-01;1154103383;IT
2014-10-01;-389500050;IT
2014-11-01;119470937;IT
2014-12-01;-272662541;IT
2015-01-01;-1027544687;IT
2015-02-01;304146491;IT
2015-03-01;3214097612;IT
2015-04-01;2617668417;IT
2015-05-01;120025084;IT
2015-06-01;3676519562;IT
2015-07-01;1172689565;IT
2015-08-01;491741818;IT
2015-09-01;431528292;IT
2015-10-01;59312497;IT
2015-11-01;1472304627;IT
2015-12-01;1013043124;IT
2016-01-01;-592417704;IT
2016-02-01;827462950;IT
2016-03-01;-1609117000;IT
2016-04-01;-1358253633;IT
2016-05-01;35017913;IT
2016-06-01;-1909697889;IT
2016-07-01;-2656322052;IT
2016-08-01;2116570331;IT
2016-09-01;-805743165;IT
2016-10-01;-535918270;IT
2016-11-01;1889247880;IT
2016-12-01;1740586328;IT
2017-01-01;3892958605;IT
2017-02-01;2459954264;IT
2017-03-01;5006411724;IT
2017-04-01;-163376890;IT
2017-05-01;5476241125;IT
2017-06-01;3036603505;IT
2017-07-01;3185809228;IT
2017-08-01;1947625836;IT
2017-09-01;1435984215;IT
2017-10-01;3386062194;IT
2017-11-01;3008718080;IT
2017-12-01;1188408313;IT
2018-01-01;3018263839;IT
2018-02-01;375276824;IT
2018-03-01;16549651;IT
2018-04-01;3183971998;IT
2018-05-01;519679581;IT
2018-06-01;1829610284;IT
2018-07-01;3512500462;IT
2018-08-01;1822614656;IT
2018-09-01;2128194937;IT
2018-10-01;5209509583;IT
2018-11-01;1437428001;IT
2018-12-01;1504880853;IT
2019-01-01;633945291;IT
2019-02-01;1120025207;IT
2019-03-01;-113027114;IT
2019-04-01;2001824602;IT
2019-05-01;1084868953;IT
2019-06-01;-1855358747;IT
2019-07-01;755354553;IT
2019-08-01;-1222084078;IT
2019-09-01;828249090;IT
2019-10-01;-2235525578;IT
2019-11-01;-2234727161;IT
2019-12-01;-572994168;IT
2020-01-01;560213990;IT
2020-02-01;-195906236;IT
2020-03-01;-6829020685;IT
2020-04-01;-12272154507;IT
2020-05-01;-13092232264;IT
2020-06-01;-5240070965;IT
2020-07-01;-5012747241;IT
2020-08-01;-2935234128;IT
